Sequence_Name,Probability,Prediction
Negative_Animal_495,0.0902,non-HP
Negative_Animal_95,0.0932,non-HP
Negative_Animal_175,0.0179,non-HP
Negative_Animal_226,0.0121,non-HP
Negative_Animal_491,0.0484,non-HP
Negative_Animal_481,0.015,non-HP
Negative_Animal_292,0.0044,non-HP
Negative_Animal_13,0.0798,non-HP
Negative_Animal_106,0.0167,non-HP
Negative_Animal_562,0.4244,non-HP
Negative_Animal_523,0.0617,non-HP
Negative_Animal_300,0.0111,non-HP
Negative_Animal_56,0.0092,non-HP
Negative_Animal_47,0.0645,non-HP
Negative_Animal_281,0.0272,non-HP
Negative_Animal_130,0.0106,non-HP
Negative_Animal_15,0.0446,non-HP
Negative_Animal_310,0.0126,non-HP
Negative_Animal_184,0.0046,non-HP
Negative_Animal_370,0.0217,non-HP
Negative_Animal_233,0.0523,non-HP
Negative_Animal_304,0.031,non-HP
Negative_Animal_199,0.0096,non-HP
Negative_Animal_103,0.0818,non-HP
Negative_Animal_290,0.0962,non-HP
Negative_Animal_284,0.0201,non-HP
Negative_Animal_496,0.0407,non-HP
Negative_Animal_222,0.0084,non-HP
Negative_Animal_197,0.0213,non-HP
Negative_Animal_190,0.1721,non-HP
Negative_Animal_123,0.0181,non-HP
Negative_Animal_324,0.0327,non-HP
Negative_Animal_198,0.0218,non-HP
Negative_Animal_124,0.0075,non-HP
Negative_Animal_237,0.0221,non-HP
Negative_Animal_258,0.0633,non-HP
Negative_Animal_554,0.0085,non-HP
Negative_Animal_278,0.0065,non-HP
Negative_Animal_465,0.0448,non-HP
Negative_Animal_361,0.0078,non-HP
Negative_Animal_339,0.0529,non-HP
Negative_Animal_436,0.0179,non-HP
Negative_Animal_353,0.0327,non-HP
Negative_Animal_544,0.0491,non-HP
Negative_Animal_485,0.0294,non-HP
Negative_Animal_378,0.0162,non-HP
Negative_Animal_314,0.0209,non-HP
Negative_Animal_250,0.0157,non-HP
Negative_Animal_415,0.007,non-HP
Negative_Animal_227,0.0327,non-HP
Negative_Animal_302,0.031,non-HP
Negative_Animal_96,0.0117,non-HP
Negative_Animal_18,0.0108,non-HP
Negative_Animal_459,0.0288,non-HP
Negative_Animal_503,0.0932,non-HP
Negative_Animal_488,0.0196,non-HP
Negative_Animal_247,0.0405,non-HP
Negative_Animal_501,0.0069,non-HP
Negative_Animal_417,0.0062,non-HP
Negative_Animal_248,0.1613,non-HP
Negative_Animal_88,0.0318,non-HP
Negative_Animal_196,0.1881,non-HP
Negative_Animal_530,0.0214,non-HP
Negative_Animal_11,0.0334,non-HP
Negative_Animal_570,0.0047,non-HP
Negative_Animal_283,0.8632,HP
Negative_Animal_287,0.0148,non-HP
Negative_Animal_349,0.0034,non-HP
Negative_Animal_265,0.0813,non-HP
Negative_Animal_364,0.0283,non-HP
Negative_Animal_218,0.0053,non-HP
Negative_Animal_500,0.0435,non-HP
Negative_Animal_187,0.0654,non-HP
Negative_Animal_333,0.0038,non-HP
Negative_Animal_507,0.0061,non-HP
Negative_Plant_11,0.0065,non-HP
Negative_Plant_2,0.0396,non-HP
Negative_Plant_1,0.2158,non-HP
Negative_Plant_20,0.0198,non-HP
Negative_Plant_28,0.0914,non-HP
Negative_Plant_21,0.011,non-HP
